duration_seconds,quiz_seconds,quiz_score,wrong_count,answer_change_count,max_answer_changes_per_question,hidden_count,focus_ratio,total_input_events,active_ratio,face_absent_seconds,longest_face_absence_seconds,absence_count,multiple_faces_seconds,multiple_faces_detected_count,label
49,5,32,7,0,0,0,0.967,133,0.128,6,2,1,0,0,1
671,129,88,1,2,2,1,0.917,192,0.292,20,1,2,0,0,0
358,186,78,2,4,2,0,0.828,52,0.097,3,3,0,0,0,0
262,208,99,0,0,0,2,0.977,175,0.143,13,11,0,0,0,0
11,19,78,2,1,1,1,0.87,158,0.154,13,5,1,0,0,1
683,147,78,2,2,2,0,0.882,150,0.115,0,0,0,0,0,0
426,67,91,1,0,0,2,0.799,130,0.131,18,1,2,0,0,0
626,172,82,2,4,0,1,0.875,144,0.173,1,1,0,0,0,0
311,63,77,2,4,2,4,0.612,204,0.116,19,5,1,0,0,1
574,92,82,2,1,0,1,0.802,147,0.224,17,3,0,0,0,0
589,148,96,0,2,1,2,0.944,181,0.101,15,11,0,21,3,1
442,120,76,2,0,0,0,0.95,158,0.151,8,4,2,0,0,0
529,61,87,1,1,1,1,0.902,191,0.094,3,3,1,0,0,0
312,113,98,0,0,0,0,0.851,178,0.268,13,8,1,0,0,0
686,181,99,0,0,0,2,0.83,173,0.145,0,0,2,0,0,0
456,163,74,3,3,2,0,0.968,0,0.011,2,2,1,0,0,1
264,149,74,3,2,1,2,0.79,85,0.296,10,10,0,0,0,0
733,76,71,3,1,1,1,0.982,16,0.001,19,2,1,0,0,1
230,80,50,5,5,9,5,0.579,24,0.092,65,28,1,0,0,1
380,169,81,2,2,2,2,0.901,52,0.113,12,8,1,0,0,0
258,58,30,7,6,7,6,0.625,16,0.091,16,10,1,0,0,1
470,164,80,2,2,2,0,0.853,87,0.224,4,4,0,0,0,0
43,8,81,2,1,1,0,0.995,156,0.113,18,3,2,0,0,1
259,172,78,2,0,0,0,0.977,147,0.303,13,10,1,0,0,0
598,100,81,2,1,1,8,0.371,119,0.239,2,2,1,0,0,1
424,92,77,2,2,0,5,0.456,191,0.253,2,2,0,0,0,1
628,148,75,2,1,1,6,0.358,88,0.317,16,4,1,0,0,1
697,174,90,1,0,0,0,0.877,200,0.08,92,64,4,0,0,1
229,88,72,3,0,0,8,0.468,72,0.345,4,4,2,0,0,1
590,109,91,1,0,0,9,0.331,154,0.088,13,8,2,0,0,1
55,19,13,10,3,2,2,0.908,201,0.327,2,1,2,0,0,1
418,162,95,0,4,0,0,0.814,49,0.082,35,24,2,0,0,1
340,27,20,8,11,6,2,0.673,27,0.078,18,9,1,0,0,1
521,171,99,0,1,1,0,0.959,18,0.045,18,11,2,0,0,1
605,146,87,1,1,1,1,0.936,76,0.176,36,22,4,0,0,1
230,61,70,3,6,4,2,0.545,28,0.092,57,27,1,0,0,1
536,56,79,2,4,1,0,0.798,152,0.135,0,0,2,0,0,0
615,146,84,2,2,0,1,0.945,93,0.154,0,0,0,0,0,0
868,162,78,2,1,1,0,0.884,15,0.016,7,5,0,0,0,1
695,193,86,1,4,2,2,0.911,151,0.098,71,68,2,0,0,1
10,16,14,8,0,0,1,0.923,186,0.26,5,3,2,0,0,1
43,22,12,9,0,0,0,0.79,131,0.087,4,4,2,0,0,1
568,210,97,0,0,0,4,0.419,54,0.275,8,8,0,0,0,1
591,69,95,0,3,0,1,0.831,147,0.212,18,1,1,0,0,0
515,208,81,2,0,0,1,0.87,168,0.238,35,22,3,0,0,1
211,66,20,8,9,3,3,0.467,8,0.072,54,13,2,0,0,1
650,87,88,1,4,1,1,0.841,139,0.23,15,7,0,0,0,0
487,143,78,2,0,0,0,0.793,139,0.083,10,5,2,0,0,0
292,71,60,4,9,4,2,0.463,20,0.071,56,29,2,0,0,1
454,193,86,1,2,1,0,0.962,126,0.136,17,8,2,0,0,0
457,150,85,2,3,1,2,0.945,51,0.321,0,0,1,16,2,1
27,22,80,2,0,0,0,0.929,158,0.11,11,8,0,0,0,1
627,160,73,3,1,1,1,0.854,199,0.271,12,11,1,0,0,0
312,156,79,2,0,0,2,0.828,89,0.155,11,0,0,27,3,1
309,164,94,1,3,0,1,0.837,184,0.149,10,2,2,0,0,0
405,48,89,1,4,0,10,0.638,153,0.331,17,0,2,0,0,1
336,151,95,0,1,0,1,0.879,144,0.104,15,10,2,0,0,0
530,68,99,0,2,2,1,0.913,13,0.063,18,2,2,0,0,1
525,182,78,2,2,1,0,0.795,112,0.101,102,47,1,0,0,1
355,176,91,1,2,1,0,0.836,181,0.168,8,8,0,0,0,0
635,176,75,2,2,1,4,0.343,137,0.251,8,0,0,0,0,1
461,175,73,3,4,2,1,0.985,126,0.204,14,1,1,0,0,0
285,203,82,2,2,2,0,0.958,161,0.145,1,1,1,0,0,0
20,22,74,3,1,1,0,0.832,116,0.14,10,4,0,0,0,1
40,13,34,8,1,1,0,0.972,210,0.249,19,5,0,0,0,1
488,150,76,2,3,2,1,0.89,180,0.175,7,1,0,0,0,0
47,18,14,9,4,0,1,0.905,46,0.128,1,1,1,0,0,1
252,123,93,1,3,2,2,0.959,61,0.164,3,3,0,0,0,0
513,189,100,0,1,1,0,0.863,174,0.262,15,3,0,0,0,0
267,89,76,2,4,0,0,0.953,61,0.299,100,67,3,0,0,1
329,172,100,0,3,3,0,0.869,42,0.227,8,8,1,0,0,0
483,64,72,3,1,0,8,0.592,94,0.131,0,0,0,0,0,1
597,90,89,1,4,1,5,0.395,128,0.265,6,6,0,0,0,1
465,88,82,2,3,0,1,0.84,127,0.3,13,2,1,0,0,0
480,82,70,3,0,0,0,0.911,158,0.238,2,2,2,0,0,0
357,27,30,7,11,7,5,0.549,34,0.023,58,21,2,0,0,1
670,92,81,2,4,0,2,0.828,121,0.13,6,6,2,0,0,0
668,71,94,1,0,0,1,0.959,191,0.265,91,62,1,0,0,1
409,116,80,2,1,1,1,0.87,133,0.205,13,1,0,0,0,0
253,147,100,0,3,3,0,0.889,189,0.334,11,11,0,0,0,0
604,183,93,1,1,0,1,0.908,125,0.201,6,5,1,0,0,0
187,176,86,1,4,0,7,0.544,62,0.108,2,2,2,0,0,1
572,71,84,2,3,0,4,0.68,42,0.109,14,1,1,0,0,1
52,3,30,9,4,2,1,0.849,189,0.263,17,9,0,0,0,1
624,77,77,2,2,2,1,0.876,60,0.28,4,2,0,0,0,0
530,168,72,3,0,0,0,0.939,159,0.249,56,35,2,0,0,1
419,91,90,1,3,3,6,0.368,115,0.089,7,7,1,0,0,1
493,90,82,2,0,0,1,0.859,210,0.29,14,1,0,0,0,0
21,34,76,2,2,0,1,0.793,133,0.135,10,10,0,0,0,1
692,74,73,3,2,1,2,0.792,73,0.255,3,2,1,0,0,0
51,8,33,7,2,2,0,0.995,150,0.178,12,1,1,0,0,1
278,122,82,2,1,1,0,0.987,177,0.177,8,0,2,0,0,0
649,171,79,2,3,3,1,0.901,83,0.144,20,4,1,0,0,0
367,131,82,2,0,0,7,0.617,145,0.148,11,5,2,0,0,1
56,26,14,8,4,2,2,0.826,35,0.095,11,6,2,0,0,1
677,84,70,3,3,3,2,0.951,202,0.266,17,12,0,9,3,1
403,122,70,3,4,1,2,0.966,177,0.294,11,9,1,0,0,0
376,49,74,3,1,0,1,0.871,93,0.091,97,39,3,0,0,1
415,100,97,0,4,1,2,0.981,209,0.148,4,4,0,0,0,0
603,160,83,2,0,0,0,0.816,144,0.253,1,1,0,0,0,0
495,84,78,2,0,0,1,0.905,17,0.006,19,4,1,0,0,1
565,89,84,2,0,0,0,0.959,180,0.238,10,4,1,0,0,0
20,21,89,1,2,1,0,0.901,115,0.228,4,4,2,0,0,1
593,53,81,2,1,1,0,0.794,143,0.307,13,12,0,0,0,0
254,32,60,4,9,9,4,0.555,42,0.109,23,17,0,0,0,1
406,135,82,2,3,2,2,0.908,160,0.121,69,35,2,0,0,1
595,170,83,2,2,0,5,0.265,151,0.308,1,1,0,0,0,1
664,189,88,1,3,1,2,0.838,86,0.318,36,24,4,0,0,1
25,26,79,2,4,2,1,0.917,106,0.214,13,5,2,0,0,1
714,206,71,3,2,1,1,0.978,149,0.308,7,5,2,0,0,0
309,182,79,2,1,1,1,0.812,59,0.129,9,3,1,0,0,0
528,177,100,0,3,3,1,0.838,80,0.22,2,2,1,0,0,0
105,60,50,5,10,9,4,0.598,42,0.097,26,10,2,0,0,1
260,35,70,3,7,7,5,0.677,10,0.094,23,17,2,0,0,1
320,66,40,6,9,8,6,0.463,8,0.116,21,20,0,0,0,1
378,158,90,1,0,0,2,0.911,93,0.087,90,21,3,0,0,1
294,90,98,0,3,1,0,0.862,96,0.199,14,4,0,0,0,0
539,70,77,2,1,1,0,0.937,85,0.28,7,7,1,0,0,0
125,40,50,5,9,8,5,0.687,22,0.025,62,22,0,0,0,1
691,209,70,3,4,2,0,0.849,117,0.112,40,18,3,0,0,1
510,96,72,3,3,0,2,0.978,52,0.192,16,9,1,0,0,1
39,32,86,1,0,0,1,0.983,176,0.345,15,5,0,0,0,1
338,144,78,2,2,1,0,0.916,64,0.194,0,0,1,0,0,0
276,68,50,5,5,7,5,0.609,37,0.104,57,22,1,0,0,1
452,159,93,1,2,0,0,0.984,128,0.158,46,23,2,0,0,1
661,146,91,1,3,1,2,0.82,55,0.143,10,5,0,0,0,0
120,70,30,7,4,9,3,0.713,18,0.044,22,12,0,0,0,1
179,28,40,6,7,6,6,0.615,24,0.081,41,29,0,0,0,1
471,86,84,2,4,0,0,0.808,102,0.225,17,8,1,0,0,0
8,9,11,8,3,2,2,0.883,136,0.188,18,10,0,0,0,1
701,187,73,3,1,1,0,0.99,42,0.295,14,7,2,0,0,0
471,49,77,2,0,0,2,0.882,155,0.265,8,3,1,0,0,0
679,77,82,2,4,0,0,0.818,91,0.25,11,11,2,12,1,1
404,124,81,2,1,1,0,0.881,119,0.32,1,1,2,0,0,0
587,125,74,3,4,1,2,0.789,186,0.212,10,6,1,0,0,0
105,75,70,3,11,3,2,0.707,44,0.046,27,9,1,0,0,1
491,104,90,1,1,1,2,0.994,187,0.282,9,2,0,0,0,0
705,159,97,0,3,0,1,0.887,104,0.316,4,4,2,0,0,0
716,197,84,2,1,1,1,0.882,169,0.322,19,8,2,0,0,0
297,194,80,2,3,0,0,0.823,137,0.23,3,3,0,0,0,0
